Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00   169088     0.00     0.00  void std::__destroy_aux<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __false_type)
  0.00      0.00     0.00   169088     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.00     0.00   169087     0.00     0.00  __gnu_cxx::new_allocator<std::string>::allocate(unsigned int, void const*)
  0.00      0.00     0.00   169087     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_allocate(unsigned int)
  0.00      0.00     0.00   169087     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::_M_insert_aux(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, std::string const&)
  0.00      0.00     0.00   169086     0.00     0.00  __gnu_cxx::new_allocator<std::string>::deallocate(std::string*, unsigned int)
  0.00      0.00     0.00   162386     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, long> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<std::string const, long> >*)
  0.00      0.00     0.00   159498     0.00     0.00  __gnu_cxx::new_allocator<std::string>::new_allocator(__gnu_cxx::new_allocator<std::string> const&)
  0.00      0.00     0.00   159498     0.00     0.00  __gnu_cxx::new_allocator<std::string>::new_allocator()
  0.00      0.00     0.00   159498     0.00     0.00  std::allocator<std::string>::allocator()
  0.00      0.00     0.00   159498     0.00     0.00  std::allocator<std::string>::allocator(std::allocator<std::string> const&)
  0.00      0.00     0.00   159498     0.00     0.00  std::allocator<std::string>::~allocator()
  0.00      0.00     0.00   159498     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_impl::_Vector_impl(std::allocator<std::string> const&)
  0.00      0.00     0.00   159498     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_base(std::allocator<std::string> const&)
  0.00      0.00     0.00   159498     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::vector(std::allocator<std::string> const&)
  0.00      0.00     0.00   159497     0.00     0.00  std::allocator<std::string>::~allocator()
  0.00      0.00     0.00   159497     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00   159497     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::~_Vector_base()
  0.00      0.00     0.00   159497     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::~vector()
  0.00      0.00     0.00   159497     0.00     0.00  void std::__destroy_aux<std::string*>(std::string*, std::string*, __false_type)
  0.00      0.00     0.00   159497     0.00     0.00  void std::_Destroy<std::string*>(std::string*, std::string*)
  0.00      0.00     0.00   159190     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00   159190     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00   159098     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::_M_begin()
  0.00      0.00     0.00   158675     0.00     0.00  string_split(std::string const&, char const*, std::vector<std::string, std::allocator<std::string> >&)
  0.00      0.00     0.00   158273     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, long> > >::allocate(unsigned int, void const*)
  0.00      0.00     0.00   158273     0.00     0.00  std::pair<std::string const, long>::pair(std::pair<std::string const, long> const&)
  0.00      0.00     0.00   158273     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::_M_get_node()
  0.00      0.00     0.00   158273     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::_M_create_node(std::pair<std::string const, long> const&)
  0.00      0.00     0.00   158273     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::_M_insert(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::pair<std::string const, long> const&)
  0.00      0.00     0.00   158273     0.00     0.00  void std::_Construct<std::pair<std::string const, long>, std::pair<std::string const, long> >(std::pair<std::string const, long>*, std::pair<std::string const, long> const&)
  0.00      0.00     0.00   157854     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::erase(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.00     0.00   157453     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > std::__copy_ni1<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __true_type)
  0.00      0.00     0.00   157453     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > std::__copy_ni2<std::string*, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(std::string*, std::string*, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __true_type)
  0.00      0.00     0.00   157453     0.00     0.00  std::string* std::__copy_aux2<std::string*, std::string*>(std::string*, std::string*, std::string*, __false_type)
  0.00      0.00     0.00   157453     0.00     0.00  std::iterator_traits<std::string*>::iterator_category std::__iterator_category<std::string*>(std::string* const&)
  0.00      0.00     0.00   157453     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > std::copy<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.00     0.00   157453     0.00     0.00  std::string* std::__copy<std::string*, std::string*>(std::string*, std::string*, std::string*, std::random_access_iterator_tag)
  0.00      0.00     0.00   157452     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, long> > >::deallocate(std::_Rb_tree_node<std::pair<std::string const, long> >*, unsigned int)
  0.00      0.00     0.00   157452     0.00     0.00  std::pair<std::string const, long>::pair<std::string, long>(std::pair<std::string, long> const&)
  0.00      0.00     0.00   157452     0.00     0.00  std::pair<std::string, long>::pair(std::string const&, long const&)
  0.00      0.00     0.00   157452     0.00     0.00  std::pair<std::string, long>::~pair()
  0.00      0.00     0.00   157452     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::_M_put_node(std::_Rb_tree_node<std::pair<std::string const, long> >*)
  0.00      0.00     0.00   157452     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::destroy_node(std::_Rb_tree_node<std::pair<std::string const, long> >*)
  0.00      0.00     0.00   157452     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::insert_equal(std::pair<std::string const, long> const&)
  0.00      0.00     0.00   157452     0.00     0.00  std::multimap<std::string, long, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::insert(std::pair<std::string const, long> const&)
  0.00      0.00     0.00   157452     0.00     0.00  void std::_Destroy<std::pair<std::string const, long> >(std::pair<std::string const, long>*)
  0.00      0.00     0.00   138980     0.00     0.00  tag_parser(char*, int, char*)
  0.00      0.00     0.00    14718     0.00     0.00  std::_Select1st<std::pair<long const, std::string> >::operator()(std::pair<long const, std::string> const&) const
  0.00      0.00     0.00    13078     0.00     0.00  std::less<long>::operator()(long const&, long const&) const
  0.00      0.00     0.00    12259     0.00     0.00  std::_Rb_tree<long, std::pair<long const, std::string>, std::_Select1st<std::pair<long const, std::string> >, std::less<long>, std::allocator<std::pair<long const, std::string> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.00     0.00    11438     0.00     0.00  std::_Rb_tree<long, std::pair<long const, std::string>, std::_Select1st<std::pair<long const, std::string> >, std::less<long>, std::allocator<std::pair<long const, std::string> > >::_S_key(std::_Rb_tree_node<std::pair<long const, std::string> > const*)
  0.00      0.00     0.00    11438     0.00     0.00  std::_Rb_tree<long, std::pair<long const, std::string>, std::_Select1st<std::pair<long const, std::string> >, std::less<long>, std::allocator<std::pair<long const, std::string> > >::_S_value(std::_Rb_tree_node<std::pair<long const, std::string> > const*)
  0.00      0.00     0.00     2629     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, long> >::operator*() const
  0.00      0.00     0.00     2466     0.00     0.00  std::map<std::string, long, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::end()
  0.00      0.00     0.00     2466     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::end()
  0.00      0.00     0.00     2465     0.00     0.00  std::_Rb_tree_iterator<std::pair<long const, std::string> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<long const, std::string> >*)
  0.00      0.00     0.00     2463     0.00     0.00  std::_Rb_tree<long, std::pair<long const, std::string>, std::_Select1st<std::pair<long const, std::string> >, std::less<long>, std::allocator<std::pair<long const, std::string> > >::_M_end()
  0.00      0.00     0.00     1645     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, long> >::operator==(std::_Rb_tree_iterator<std::pair<std::string const, long> > const&) const
  0.00      0.00     0.00     1644     0.00     0.00  std::map<std::string, long, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::lower_bound(std::string const&)
  0.00      0.00     0.00     1644     0.00     0.00  std::map<std::string, long, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::operator[](std::string const&)
  0.00      0.00     0.00     1644     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::lower_bound(std::string const&)
  0.00      0.00     0.00     1642     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, long> >::operator->() const
  0.00      0.00     0.00     1642     0.00     0.00  std::pair<long const, std::string>::~pair()
  0.00      0.00     0.00     1640     0.00     0.00  std::_Rb_tree<long, std::pair<long const, std::string>, std::_Select1st<std::pair<long const, std::string> >, std::less<long>, std::allocator<std::pair<long const, std::string> > >::_M_rightmost()
  0.00      0.00     0.00     1640     0.00     0.00  std::_Rb_tree<long, std::pair<long const, std::string>, std::_Select1st<std::pair<long const, std::string> >, std::less<long>, std::allocator<std::pair<long const, std::string> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00     1640     0.00     0.00  std::_Rb_tree<long, std::pair<long const, std::string>, std::_Select1st<std::pair<long const, std::string> >, std::less<long>, std::allocator<std::pair<long const, std::string> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00     1316     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::_M_rightmost()
  0.00      0.00     0.00      985     0.00     0.00  std::map<std::string, long, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::key_comp() const
